,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
245042_at,0.09424804,3.658369278,0.738005992,0.475280135,0.96904122,-4.736543326,FALSE
252458_at,0.164967497,7.481941184,0.737920957,0.475329856,0.96904122,-4.736568666,FALSE
264992_at,-0.088123073,7.145568019,-0.737843905,0.475374913,0.96904122,-4.736591626,FALSE
246889_at,0.089618922,2.717410915,0.737743488,0.475433636,0.96904122,-4.736621544,FALSE
264047_at,-0.117219508,3.028655552,-0.73768804,0.475466064,0.96904122,-4.736638063,FALSE
258151_at,-0.20726978,5.75727275,-0.73762447,0.475503243,0.96904122,-4.736657,FALSE
263054_at,0.120223156,5.532672788,0.737569096,0.47553563,0.96904122,-4.736673494,FALSE
261367_at,-0.087317427,3.646955876,-0.737517183,0.475565995,0.96904122,-4.736688957,FALSE
262450_at,0.076259688,4.33630931,0.737407829,0.47562996,0.96904122,-4.736721526,FALSE
260748_at,0.140403116,3.480789538,0.737338698,0.475670401,0.96904122,-4.736742113,FALSE
259836_at,0.070309397,2.722571045,0.73731854,0.475682193,0.96904122,-4.736748115,FALSE
254318_at,0.17107713,5.039861878,0.737031947,0.475849871,0.96904122,-4.736833442,FALSE
250205_at,0.103234329,3.20557622,0.73699315,0.475872572,0.96904122,-4.736844991,FALSE
258331_at,-0.081261912,6.399010679,-0.736976494,0.475882319,0.96904122,-4.736849949,FALSE
261124_at,-0.18324876,5.381802915,-0.736949721,0.475897985,0.96904122,-4.736857918,FALSE
264313_at,0.218897897,7.409981483,0.736803436,0.475983592,0.96904122,-4.736901456,FALSE
265973_at,0.089039779,2.712643251,0.736784598,0.475994617,0.96904122,-4.736907062,FALSE
267359_at,-0.106586892,3.31709546,-0.736708264,0.476039292,0.96904122,-4.736929777,FALSE
259465_at,-0.096249618,2.533977096,-0.736657392,0.476069067,0.96904122,-4.736944915,FALSE
266026_at,-0.099421928,2.718240652,-0.736561157,0.476125396,0.96904122,-4.736973548,FALSE
257736_at,-0.078111263,2.666013239,-0.736273425,0.476293838,0.96904122,-4.737059139,FALSE
251421_at,-0.099548751,5.368658835,-0.736268164,0.476296918,0.96904122,-4.737060703,FALSE
266987_at,0.115334714,3.491510102,0.736173995,0.476352053,0.96904122,-4.737088709,FALSE
263783_at,-0.19661899,6.121418109,-0.736005453,0.476450745,0.96904122,-4.737138826,FALSE
250983_at,0.086758895,3.71878597,0.735990294,0.476459621,0.96904122,-4.737143332,FALSE
264786_at,-0.084498644,2.459466869,-0.735896786,0.476514382,0.96904122,-4.737171133,FALSE
249540_at,-0.0912231,2.890997867,-0.735894746,0.476515577,0.96904122,-4.737171739,FALSE
264282_at,0.07352248,2.893975537,0.735829044,0.476554056,0.96904122,-4.737191271,FALSE
261562_at,0.508348498,3.926733105,0.735779282,0.4765832,0.96904122,-4.737206063,FALSE
261281_at,0.107880437,2.157919173,0.735714286,0.476621269,0.96904122,-4.737225382,FALSE
258385_at,-0.105907342,7.65002197,-0.735654294,0.476656409,0.96904122,-4.737243212,FALSE
252013_at,0.098267211,5.824615285,0.735619748,0.476676645,0.96904122,-4.737253479,FALSE
244981_at,-0.351016723,6.628659484,-0.735525503,0.476731852,0.96904122,-4.737281486,FALSE
253109_at,0.229503586,5.538698449,0.735426237,0.476790005,0.96904122,-4.737310982,FALSE
264197_at,0.063311651,7.203717535,0.735331142,0.476845719,0.96904122,-4.737339236,FALSE
249001_at,0.070942505,2.898969465,0.735291602,0.476868886,0.96904122,-4.737350982,FALSE
258067_at,0.122685716,4.179532743,0.735273319,0.476879598,0.96904122,-4.737356414,FALSE
259847_at,-0.089524285,7.083641526,-0.735239676,0.47689931,0.96904122,-4.737366408,FALSE
262883_at,0.358426122,3.750531355,0.735203454,0.476920534,0.96904122,-4.737377168,FALSE
247148_at,0.142825837,9.707111915,0.735020446,0.477027776,0.96904122,-4.737431524,FALSE
252249_at,-0.085062681,3.552595521,-0.735013084,0.477032091,0.96904122,-4.737433711,FALSE
252603_at,-0.094273653,5.423673934,-0.735005291,0.477036658,0.96904122,-4.737436025,FALSE
248030_at,-0.120340953,4.102501684,-0.734974874,0.477054484,0.96904122,-4.737445058,FALSE
247460_at,0.093610019,7.911764903,0.734885964,0.477106592,0.96904122,-4.73747146,FALSE
245840_at,-0.08644738,3.231403276,-0.73484964,0.477127881,0.96904122,-4.737482246,FALSE
252207_at,-0.078732187,7.652286256,-0.734782378,0.477167305,0.96904122,-4.737502217,FALSE
263599_at,0.181616733,5.938475136,0.734662733,0.477237437,0.96904122,-4.737537737,FALSE
261161_at,-0.122277682,4.558220438,-0.734625286,0.477259389,0.96904122,-4.737548853,FALSE
252899_at,-0.155507915,3.258469104,-0.734615753,0.477264978,0.96904122,-4.737551683,FALSE
