,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
263440_at,0.439495156,2.650864284,4.663785601,0.000610211,0.999989586,-2.952402343,FALSE
253495_at,0.375532652,3.17117345,4.538884378,0.000752928,0.999989586,-2.994283537,FALSE
262952_at,0.674451466,4.623825956,4.431999395,0.000902757,0.999989586,-3.031350287,FALSE
251003_at,-0.378295679,4.141540442,-4.364077583,0.001013886,0.999989586,-3.055503655,FALSE
251027_at,0.46216271,3.212146303,4.353815348,0.00103188,0.999989586,-3.05919384,FALSE
250415_at,-0.378559143,3.059984249,-4.260212847,0.001212207,0.999989586,-3.093351948,FALSE
249314_at,-0.421685993,3.359717591,-4.206748308,0.001329659,0.999989586,-3.113269757,FALSE
266947_at,0.290138362,2.419458268,4.010121427,0.001873748,0.999989586,-3.189102876,FALSE
262123_at,0.375650508,2.488502237,3.761867502,0.002906842,0.999989586,-3.290719045,FALSE
263232_at,-0.441388602,3.537328008,-3.708463831,0.003197372,0.999989586,-3.313439367,FALSE
251574_at,0.3318323,4.453547385,3.66305907,0.00346782,0.999989586,-3.332995765,FALSE
249214_at,-0.597820995,3.472597472,-3.634517755,0.003649749,0.999989586,-3.345401076,FALSE
252179_at,0.335479742,3.586596879,3.614996281,0.003779801,0.999989586,-3.353935725,FALSE
250629_at,-0.493857898,3.986482849,-3.605126147,0.003847355,0.999989586,-3.358266234,FALSE
259539_at,0.300039156,2.733810377,3.603501088,0.003858596,0.999989586,-3.358980214,FALSE
256419_at,-0.383513929,3.065473317,-3.5921536,0.003938031,0.999989586,-3.363973585,FALSE
266292_at,0.307032666,2.372009778,3.562121894,0.004156448,0.999989586,-3.377254343,FALSE
256729_at,-0.377040796,3.771146618,-3.561254246,0.00416294,0.999989586,-3.37763945,FALSE
262228_at,-0.404428416,3.787948042,-3.518945532,0.004492415,0.999989586,-3.396514112,FALSE
254848_at,0.389134951,6.799167755,3.502171605,0.004630319,0.999989586,-3.404049114,FALSE
267570_at,0.411822077,5.380769147,3.499385308,0.004653642,0.999989586,-3.405303587,FALSE
267044_at,-0.376472122,6.424875483,-3.49844535,0.004661537,0.999989586,-3.405726966,FALSE
262374_s_at,-0.58416933,3.192172956,-3.47027021,0.004904654,0.999989586,-3.41846037,FALSE
256953_at,-0.390066464,3.452508491,-3.468157816,0.004923395,0.999989586,-3.419418361,FALSE
262177_at,0.471297781,3.958502923,3.458027874,0.00501429,0.999989586,-3.424018806,FALSE
261969_at,-0.590209282,4.668061151,-3.450439795,0.005083498,0.999989586,-3.427471833,FALSE
249258_at,0.436290806,4.824881555,3.428198865,0.005292018,0.999989586,-3.437626985,FALSE
253095_at,0.304121003,5.891599272,3.419069115,0.005380121,0.999989586,-3.441810334,FALSE
265506_at,0.32063217,2.639637058,3.409803392,0.005471066,0.999989586,-3.446064724,FALSE
246526_at,0.284717185,2.423631579,3.408915681,0.005479861,0.999989586,-3.446472782,FALSE
250506_at,0.298143748,2.78382599,3.402262395,0.005546238,0.999989586,-3.449533686,FALSE
265500_at,0.350739334,3.173071262,3.396167553,0.005607762,0.999989586,-3.452341641,FALSE
245250_at,-0.44298306,7.548751568,-3.366833541,0.005913744,0.999989586,-3.465909007,FALSE
264457_at,-0.395063829,3.495935716,-3.359761313,0.005990024,0.999989586,-3.469193063,FALSE
253075_at,-0.377408693,4.679566809,-3.357929611,0.006009943,0.999989586,-3.470044455,FALSE
246858_at,-0.446135302,6.797569284,-3.350885792,0.006087172,0.999989586,-3.473321643,FALSE
266273_at,-0.295468684,2.614457222,-3.343502511,0.006169207,0.999989586,-3.476762136,FALSE
249417_at,-0.550391258,5.19746422,-3.336723393,0.006245519,0.999989586,-3.479925926,FALSE
255913_at,0.30438228,2.321803729,3.332588195,0.00629254,0.999989586,-3.481858074,FALSE
262569_at,0.403416717,3.531740513,3.326477831,0.006362679,0.999989586,-3.484716245,FALSE
253930_at,-0.340311822,2.522862996,-3.318021762,0.006461056,0.999989586,-3.488677801,FALSE
254704_at,0.365317874,5.263675748,3.303632264,0.006632028,0.999989586,-3.495435484,FALSE
247508_at,-0.362224913,3.421927276,-3.291815772,0.006775861,0.999989586,-3.501000206,FALSE
256766_at,0.350833768,3.762952087,3.268907979,0.007063781,0.999989586,-3.511827458,FALSE
267434_at,-0.538104559,3.808994619,-3.264012202,0.007126907,0.999989586,-3.514148121,FALSE
259063_at,-0.329237113,2.794088421,-3.252658301,0.007275515,0.999989586,-3.519539056,FALSE
261894_at,-0.307961929,4.003870167,-3.248882459,0.007325628,0.999989586,-3.521334652,FALSE
252430_at,0.34738842,8.063195778,3.247169031,0.007348484,0.999989586,-3.522149929,FALSE
249554_at,0.343230073,3.815250559,3.242754922,0.007407699,0.999989586,-3.52425155,FALSE
261681_at,0.333438524,5.234237895,3.241250362,0.007427993,0.999989586,-3.524968326,FALSE
251935_at,0.316076421,5.552347658,3.227048438,0.007622349,0.999989586,-3.531744985,FALSE
257185_at,-0.366086535,2.968948693,-3.220253929,0.007717147,0.999989586,-3.53499399,FALSE
266655_at,-0.289897664,3.301822235,-3.21193377,0.007834858,0.999989586,-3.538978593,FALSE
