,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
249314_at,0.840291054,3.359717591,8.38276118,3.07E-06,0.070028843,4.383543795,FALSE
262952_at,-1.102093407,4.623825956,-7.242147971,1.29E-05,0.079324967,3.265902256,FALSE
254772_at,1.543982857,2.87353221,6.704593318,2.68E-05,0.079324967,2.671428216,FALSE
253956_at,-1.043341034,5.215386039,-6.480960857,3.66E-05,0.079324967,2.410361926,FALSE
253525_at,1.628062414,4.989933086,6.373146986,4.28E-05,0.079324967,2.28153229,FALSE
263970_at,0.918567933,3.828272705,6.333156503,4.53E-05,0.079324967,2.233250419,FALSE
251027_at,-0.659464068,3.212146303,-6.212497716,5.39E-05,0.079324967,2.085936654,FALSE
251051_at,0.888832469,3.139226741,6.211715732,5.40E-05,0.079324967,2.084973864,FALSE
252963_at,-0.749674848,3.068046736,-6.196588259,5.52E-05,0.079324967,2.0663282,FALSE
262838_at,1.851064997,4.398481893,6.117388841,6.20E-05,0.079324967,1.968072309,FALSE
247316_at,0.760430195,6.519022355,6.114868807,6.22E-05,0.079324967,1.964928323,FALSE
249214_at,0.993696075,3.472597472,6.041283356,6.94E-05,0.079324967,1.872643352,FALSE
266353_at,1.57892898,8.845911867,6.030945146,7.05E-05,0.079324967,1.859603516,FALSE
261330_at,0.557941617,2.989945099,5.937470289,8.10E-05,0.079324967,1.740865858,FALSE
251935_at,-0.577281727,5.552347658,-5.893878727,8.65E-05,0.079324967,1.684977479,FALSE
265387_at,-0.788122772,9.567224698,-5.751228685,0.000107267,0.079324967,1.499786029,FALSE
254848_at,-0.634516405,6.799167755,-5.710577594,0.000114128,0.079324967,1.446365033,FALSE
245736_at,1.011811268,11.10666914,5.709506746,0.000114314,0.079324967,1.44495391,FALSE
249030_at,-0.595901118,2.88119295,-5.692159833,0.000117388,0.079324967,1.42206703,FALSE
246166_at,-0.570909081,3.346120748,-5.658201468,0.00012366,0.079324967,1.377112052,FALSE
261756_at,-0.623377522,7.875504949,-5.64388606,0.000126409,0.079324967,1.358100806,FALSE
264175_at,-0.515535917,5.914852195,-5.621848606,0.00013077,0.079324967,1.328764747,FALSE
256352_at,2.632690549,4.061918877,5.612296275,0.000132709,0.079324967,1.316022503,FALSE
262940_at,-1.081088653,6.919974515,-5.570880801,0.000141476,0.079324967,1.26059295,FALSE
258067_at,0.920265519,4.179532743,5.515284927,0.000154221,0.079324967,1.185715116,FALSE
254633_at,1.33920206,4.124301598,5.515162319,0.00015425,0.079324967,1.185549391,FALSE
AFFX-r2-Bs-thr-5_s_at,1.530807489,5.162457534,5.499301856,0.000158105,0.079324967,1.164089154,FALSE
247222_at,-0.616255696,7.00341455,-5.497569447,0.000158533,0.079324967,1.16174244,FALSE
262421_at,-0.838322458,4.71032433,-5.483495731,0.000162049,0.079324967,1.142658882,FALSE
260394_at,0.671043829,3.306110374,5.450443858,0.000170636,0.079324967,1.097705971,FALSE
252536_at,1.305640529,4.928603882,5.4416606,0.000172998,0.079324967,1.085728154,FALSE
247441_at,1.248196707,4.173306141,5.430686436,0.000175998,0.079324967,1.070743724,FALSE
262031_x_at,-1.016348241,3.838111606,-5.426305934,0.000177211,0.079324967,1.064756616,FALSE
247030_at,0.696282066,3.045059668,5.388934397,0.000187924,0.079324967,1.013542999,FALSE
266712_at,1.170073942,5.794599184,5.378746593,0.000190962,0.079324967,0.999539639,FALSE
265234_at,-1.236873554,3.377947383,-5.37716247,0.000191439,0.079324967,0.997360608,FALSE
253699_at,0.860265589,3.523099566,5.354146367,0.000198513,0.079324967,0.965651806,FALSE
259554_at,-0.617138731,6.250364113,-5.351710899,0.000199277,0.079324967,0.962291134,FALSE
266525_at,0.891279711,4.323385424,5.34598149,0.000201088,0.079324967,0.954381138,FALSE
261121_at,-0.616080768,5.370989986,-5.340317617,0.000202896,0.079324967,0.946556025,FALSE
253004_at,-0.688342967,6.988895205,-5.325856745,0.000207588,0.079324967,0.926551893,FALSE
263293_x_at,-0.677752154,2.759532479,-5.319240742,0.000209773,0.079324967,0.917387705,FALSE
254439_s_at,-0.45818763,2.575259112,-5.31146435,0.000212373,0.079324967,0.906606503,FALSE
247143_at,-0.532189136,3.236969593,-5.29290281,0.000218716,0.079324967,0.880830424,FALSE
267191_at,1.768154427,3.883509203,5.287193677,0.000220706,0.079324967,0.872890261,FALSE
AFFX-ThrX-5_at,1.061209375,4.658009671,5.270730351,0.000226556,0.079324967,0.849961776,FALSE
253763_at,1.413121116,3.105350648,5.259689425,0.00023057,0.079324967,0.83455882,FALSE
247297_at,1.706016053,9.154294167,5.247494473,0.000235091,0.079324967,0.817521426,FALSE
265276_at,-0.715091506,7.587247992,-5.231627519,0.000241114,0.079324967,0.795315489,FALSE
266090_at,-0.642727317,8.109238402,-5.18428965,0.000260072,0.079324967,0.728807802,FALSE
246540_at,1.752117064,4.595061008,5.179151465,0.000262222,0.079324967,0.721565658,FALSE
256368_at,0.846682599,4.00945665,5.176764828,0.000263227,0.079324967,0.718200209,FALSE
