,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
266080_at,0.812989573,6.648022029,5.172254154,0.000265138,0.079324967,0.711836935,FALSE
250793_at,0.73780708,6.437166084,5.171207129,0.000265583,0.079324967,0.710359379,FALSE
244994_at,-2.887130851,4.632238643,-5.168044453,0.000266934,0.079324967,0.70589509,FALSE
255284_at,1.082987157,5.458021852,5.159413271,0.000270658,0.079324967,0.693702963,FALSE
245018_at,-2.699446489,6.727154767,-5.157146967,0.000271645,0.079324967,0.690499535,FALSE
262916_at,-0.879018023,7.232225,-5.142585612,0.000278077,0.079324967,0.669895979,FALSE
249070_at,1.573813014,4.197749682,5.140833675,0.000278861,0.079324967,0.667414628,FALSE
244954_s_at,1.733902584,3.70343504,5.135424148,0.000281298,0.079324967,0.659749539,FALSE
265253_at,0.715450711,3.872558711,5.121330667,0.000287754,0.079324967,0.639756069,FALSE
264802_at,0.896543353,5.628759195,5.108150904,0.000293933,0.079324967,0.621028053,FALSE
255814_at,0.679988529,3.56953348,5.100506656,0.000297581,0.079324967,0.610152208,FALSE
263594_at,1.105999327,4.859009521,5.088370549,0.00030347,0.079324967,0.592865061,FALSE
247304_at,1.715205175,4.585988093,5.084097485,0.000305573,0.079324967,0.586772353,FALSE
261084_at,-1.024462682,5.645533311,-5.064142029,0.000315598,0.079324967,0.558277806,FALSE
260758_at,2.486015883,3.779715029,5.060616381,0.000317405,0.079324967,0.55323645,FALSE
244967_at,-1.834176214,6.79519995,-5.058939453,0.000318269,0.079324967,0.550837852,FALSE
251995_at,0.578255746,5.633158878,5.054822179,0.000320399,0.079324967,0.544946669,FALSE
263165_at,0.517549043,6.03351092,5.047490697,0.000324229,0.079324967,0.534449307,FALSE
254392_at,0.56020266,7.594544772,5.04492222,0.000325582,0.079324967,0.530769548,FALSE
245008_at,-1.896673268,8.067342181,-5.03685657,0.00032987,0.079324967,0.519206903,FALSE
247673_at,-0.551961643,5.531649321,-5.033439749,0.000331705,0.079324967,0.514305329,FALSE
266141_at,0.921053794,2.878056349,5.033148285,0.000331862,0.079324967,0.513887119,FALSE
244937_at,-2.683864194,4.804078176,-5.024123478,0.000336762,0.079324967,0.500930671,FALSE
249934_at,2.577315359,4.211569972,5.007581991,0.000345941,0.079324967,0.477147034,FALSE
260155_at,-0.726725139,5.549912862,-5.005730044,0.000346985,0.079324967,0.474481386,FALSE
263114_at,-0.778929914,5.709187368,-4.996943098,0.000351984,0.079324967,0.461825748,FALSE
249045_at,0.869135463,8.485586491,4.996073589,0.000352483,0.079324967,0.460572703,FALSE
257737_at,-0.792493771,4.191824731,-4.982069529,0.000360619,0.079324967,0.440373912,FALSE
246652_at,3.166436416,4.499014888,4.978230131,0.000362884,0.079324967,0.434830358,FALSE
267300_at,-0.62147847,9.026312408,-4.971853095,0.00036668,0.079324967,0.425617307,FALSE
258029_at,0.728645485,5.619724238,4.957220277,0.000375547,0.079324967,0.404451006,FALSE
257600_at,0.646235955,5.93142049,4.951788357,0.000378896,0.079324967,0.396584576,FALSE
263506_s_at,-0.647139084,3.673455603,-4.946767419,0.00038202,0.079324967,0.389308907,FALSE
256376_s_at,1.228548869,7.525254257,4.940765963,0.000385789,0.079324967,0.380606838,FALSE
265609_at,0.518457891,3.989085919,4.908285062,0.000406877,0.079324967,0.3334048,FALSE
258270_at,0.988556621,4.085521623,4.907363759,0.000407493,0.079324967,0.332063361,FALSE
266767_at,-0.779737114,6.800158041,-4.905860137,0.0004085,0.079324967,0.329873745,FALSE
261893_at,1.054951802,4.151843556,4.895248607,0.000415679,0.079324967,0.314410191,FALSE
267446_s_at,-0.390903895,6.649119402,-4.891432688,0.000418294,0.079324967,0.308844876,FALSE
244948_at,1.052073417,3.512789024,4.891334164,0.000418361,0.079324967,0.308701152,FALSE
247879_at,0.921609121,3.738016467,4.885383078,0.000422473,0.079324967,0.300016857,FALSE
262635_at,-0.682301242,10.35272128,-4.882421131,0.000424536,0.079324967,0.295692347,FALSE
267538_at,-0.626126559,6.864663851,-4.878559573,0.000427241,0.079324967,0.290052187,FALSE
251672_at,0.928450858,7.186997175,4.87813161,0.000427542,0.079324967,0.289426954,FALSE
257272_at,-0.630161302,3.836460575,-4.877848346,0.000427741,0.079324967,0.289013103,FALSE
258133_at,-0.640429317,10.18649324,-4.870723948,0.000432785,0.079324967,0.278599896,FALSE
249566_at,0.793810892,3.511190999,4.869092719,0.000433949,0.079324967,0.27621446,FALSE
251463_at,-0.66564844,6.647119268,-4.863503851,0.000437961,0.079324967,0.268038188,FALSE
254163_s_at,1.006373986,5.237217688,4.853701794,0.000445091,0.079324967,0.253685657,FALSE
262746_at,-0.558719705,8.129811647,-4.85081012,0.000447218,0.079324967,0.249448512,FALSE
259806_at,0.717164216,4.777213994,4.832802348,0.000460706,0.079324967,0.223030653,FALSE
256114_at,-0.807632748,5.380573759,-4.825995048,0.000465915,0.079324967,0.213030176,FALSE
267632_at,-0.450407152,6.180849942,-4.823519323,0.000467825,0.079324967,0.209391234,FALSE
260386_at,0.706050322,3.411119428,4.82218013,0.000468862,0.079324967,0.2074224,FALSE
266711_at,2.110945116,4.396154041,4.815622811,0.000473972,0.079324967,0.197777781,FALSE
249057_at,0.994540032,7.162587939,4.814848705,0.000474579,0.079324967,0.196638744,FALSE
250179_at,-0.730978932,8.202494557,-4.805776792,0.000481755,0.079324967,0.183282752,FALSE
253910_at,0.44609934,3.155854608,4.801788767,0.000484946,0.079324967,0.177407145,FALSE
266785_at,0.389738806,2.555305822,4.79711567,0.000488713,0.079324967,0.170518877,FALSE
264493_at,0.782095045,5.115234877,4.796152494,0.000489493,0.079324967,0.169098684,FALSE
266769_s_at,-0.904901498,2.700586553,-4.794935333,0.000490481,0.079324967,0.167303774,FALSE
248434_at,-0.590269653,6.682004557,-4.794660661,0.000490704,0.079324967,0.16689869,FALSE
245005_at,-3.427354743,5.845678667,-4.792425775,0.000492525,0.079324967,0.163602235,FALSE
246641_s_at,-0.530564098,2.47214422,-4.792302209,0.000492625,0.079324967,0.163419951,FALSE
264347_at,1.724299453,3.343476397,4.780793219,0.000502114,0.079324967,0.146430966,FALSE
257896_at,1.976973537,3.800481398,4.780444755,0.000502404,0.079324967,0.145916241,FALSE
266477_at,1.310255601,3.577418937,4.780416961,0.000502427,0.079324967,0.145875186,FALSE
246532_at,-0.545214705,6.252706088,-4.776618625,0.000505603,0.079324967,0.140263264,FALSE
249203_at,1.081602037,4.419984317,4.773142358,0.000508527,0.079324967,0.135125116,FALSE
250629_at,0.652778972,3.986482849,4.765238238,0.000515243,0.079324967,0.123434941,FALSE
245233_at,-0.937601355,4.707988715,-4.765214332,0.000515264,0.079324967,0.123399568,FALSE
247120_at,-0.506162279,6.594684171,-4.764445748,0.000515922,0.079324967,0.122262285,FALSE
248562_at,0.622565787,4.05172976,4.750904541,0.000527661,0.079324967,0.102209348,FALSE
258470_at,1.56930301,4.663940941,4.748734305,0.000529569,0.079324967,0.098992698,FALSE
255486_at,0.498802288,8.005013763,4.746152269,0.000531848,0.079324967,0.09516469,FALSE
256454_at,2.30329764,5.179865676,4.745440158,0.000532478,0.079324967,0.094108755,FALSE
263935_at,0.597714398,5.094634234,4.744938604,0.000532922,0.079324967,0.093364989,FALSE
248150_at,1.266244888,3.486564574,4.741654124,0.000535842,0.079324967,0.088493346,FALSE
263232_at,0.562185953,3.537328008,4.7233804,0.000552396,0.079324967,0.06135711,FALSE
256130_at,-0.694297607,5.226554696,-4.719221489,0.000556238,0.079324967,0.055173597,FALSE
265506_at,-0.443722692,2.639637058,-4.718825124,0.000556605,0.079324967,0.054584131,FALSE
246011_at,-0.812100399,7.391994023,-4.717858254,0.000557503,0.079324967,0.053146113,FALSE
260986_at,-0.521671085,10.4180474,-4.715618987,0.000559588,0.079324967,0.049815089,FALSE
266112_x_at,-1.369723973,3.562366578,-4.708200615,0.000566555,0.079324967,0.03877407,FALSE
246541_at,0.564489076,6.425076769,4.707557172,0.000567163,0.079324967,0.037815991,FALSE
258476_at,-0.435388495,4.582850909,-4.706726544,0.00056795,0.079324967,0.036579097,FALSE
262629_at,-0.830097803,6.564123926,-4.706203449,0.000568446,0.079324967,0.035800095,FALSE
257425_at,-0.437844473,2.880126674,-4.69347662,0.000580652,0.079324967,0.016833446,FALSE
260565_at,0.95433549,3.874952996,4.693428673,0.000580699,0.079324967,0.016761941,FALSE
262114_at,-0.497755199,8.218138139,-4.686135359,0.000587818,0.079324967,0.005880946,FALSE
248036_at,-0.634532921,7.459261086,-4.685522178,0.000588421,0.079324967,0.004965742,FALSE
255140_x_at,1.642629128,4.93593572,4.685522007,0.000588421,0.079324967,0.004965487,FALSE
262098_at,-0.53653112,7.917506136,-4.682700716,0.000591203,0.079324967,0.000753783,FALSE
254836_at,1.039516859,3.042067311,4.682082325,0.000591814,0.079324967,-0.00016954,FALSE
256170_at,1.003798974,4.83274566,4.681446749,0.000592443,0.079324967,-0.001118587,FALSE
253075_at,0.526144845,4.679566809,4.681284206,0.000592604,0.079324967,-0.001361307,FALSE
244910_s_at,0.597659288,3.575661234,4.679462805,0.000594412,0.079324967,-0.004081443,FALSE
250375_at,0.391453226,2.824912264,4.678237439,0.000595631,0.079324967,-0.005911744,FALSE
253296_at,1.22550401,5.41854789,4.676021191,0.000597843,0.079324967,-0.009222714,FALSE
254347_at,0.946161233,4.346573962,4.674585929,0.00059928,0.079324967,-0.01136735,FALSE
247919_at,-0.497021787,3.14198804,-4.671128427,0.000602757,0.079324967,-0.016535073,FALSE
265633_at,0.646977198,8.445943309,4.664299785,0.000609686,0.079324967,-0.026747083,FALSE
257211_at,-0.470972213,6.708363909,-4.663019539,0.000610994,0.079324967,-0.028662483,FALSE
254414_at,-0.650388996,6.360875658,-4.662391399,0.000611637,0.079324967,-0.029602351,FALSE
252240_at,0.715606243,3.315495112,4.661996787,0.000612041,0.079324967,-0.03019283,FALSE
245000_at,-3.591032985,6.437630816,-4.655554097,0.000618682,0.079324967,-0.039836903,FALSE
251124_s_at,0.824559369,5.822530507,4.650352495,0.000624098,0.079324967,-0.047628044,FALSE
245007_at,-1.943400702,4.813434155,-4.650246364,0.000624209,0.079324967,-0.047787055,FALSE
246640_x_at,-1.371669522,4.557533063,-4.648489185,0.00062605,0.079324967,-0.050420027,FALSE
244932_at,-3.514907585,5.83568685,-4.647086641,0.000627524,0.079324967,-0.052521966,FALSE
249823_s_at,0.680200214,2.889958578,4.644270364,0.000630494,0.079324967,-0.056743561,FALSE
253957_at,2.033142662,6.414942531,4.644269328,0.000630495,0.079324967,-0.056745115,FALSE
245849_at,0.833077149,3.961704563,4.644252461,0.000630513,0.079324967,-0.056770402,FALSE
248181_at,-0.465845219,7.573000408,-4.631373607,0.000644286,0.079324967,-0.076091967,FALSE
244973_at,-3.66648583,5.530473934,-4.630757658,0.000644952,0.079324967,-0.07701671,FALSE
261606_at,2.982403783,4.576640787,4.625926604,0.000650205,0.079324967,-0.084271817,FALSE
255376_x_at,-1.1611181,3.169653706,-4.624410523,0.000651863,0.079324967,-0.086549381,FALSE
258765_at,1.193413424,3.211508404,4.622837806,0.000653587,0.079324967,-0.088912413,FALSE
263331_at,-0.351488946,7.381430231,-4.615351494,0.000661861,0.079324967,-0.100166106,FALSE
262130_at,0.623985901,7.174811062,4.607454951,0.000670706,0.079324967,-0.112046118,FALSE
244934_at,-3.467819243,7.029468388,-4.604924108,0.000673568,0.079324967,-0.115855755,FALSE
260251_at,-0.51906201,7.336204435,-4.602233184,0.000676624,0.079324967,-0.119907471,FALSE
257894_at,-0.445430005,8.602545011,-4.594263192,0.000685761,0.079324967,-0.131914588,FALSE
246821_at,1.156226862,5.43156507,4.593305985,0.000686867,0.079324967,-0.133357334,FALSE
263445_at,-0.446620371,2.78437687,-4.588770475,0.000692134,0.079324967,-0.140195429,FALSE
256935_at,1.883021365,5.130057018,4.588350991,0.000692623,0.079324967,-0.140828041,FALSE
259961_at,-0.624064802,4.466612782,-4.585913353,0.000695473,0.079324967,-0.144504721,FALSE
248727_at,1.868730295,6.039013985,4.583736772,0.000698028,0.079324967,-0.147788441,FALSE
261157_at,3.586372634,3.93783003,4.583655569,0.000698124,0.079324967,-0.147910963,FALSE
258445_at,1.025326734,3.77154624,4.582937582,0.000698969,0.079324967,-0.148994333,FALSE
260274_at,0.573588876,8.211827772,4.582061196,0.000700002,0.079324967,-0.150316824,FALSE
264757_at,0.908035925,7.111455169,4.579271776,0.000703301,0.079324967,-0.154526936,FALSE
251345_at,-0.567312898,3.331696969,-4.564539278,0.000720995,0.079324967,-0.176783206,FALSE
247871_at,2.454358392,3.949226576,4.562199254,0.000723848,0.079324967,-0.180321397,FALSE
256220_at,0.69809501,6.760405608,4.561085036,0.00072521,0.079324967,-0.182006432,FALSE
258591_at,-0.82381259,5.718948036,-4.559558115,0.000727082,0.079324967,-0.184315915,FALSE
251426_at,-0.455373926,7.238299142,-4.556376682,0.000730998,0.079324967,-0.189129035,FALSE
248528_at,0.759794572,8.547103228,4.552679368,0.000735577,0.079324967,-0.19472461,FALSE
251670_at,-0.637432025,4.139117038,-4.551792647,0.00073668,0.079324967,-0.196066906,FALSE
252537_at,0.516071042,6.87140059,4.550404063,0.00073841,0.079324967,-0.198169156,FALSE
244933_at,-3.131827328,5.428454697,-4.548034143,0.000741372,0.079324967,-0.201757799,FALSE
261265_at,-0.482619187,9.426842933,-4.54768559,0.000741809,0.079324967,-0.202285667,FALSE
257761_at,1.036255064,5.993494173,4.541353545,0.000749791,0.079324967,-0.211878585,FALSE
245568_at,0.725772582,3.444327115,4.539927492,0.000751601,0.079324967,-0.214039889,FALSE
253791_at,0.507037463,4.244470298,4.538497102,0.000753421,0.079324967,-0.216208083,FALSE
244972_at,-3.938118053,6.426019956,-4.538269458,0.000753711,0.079324967,-0.216553176,FALSE
251218_at,-0.764288762,6.942916109,-4.534551253,0.000758466,0.079324967,-0.222190879,FALSE
248309_at,1.511118197,5.068920788,4.531412738,0.000762504,0.079324967,-0.226951304,FALSE
251893_at,-0.670953803,9.189416321,-4.529009389,0.000765611,0.079324967,-0.230597682,FALSE
250541_at,1.006684327,4.165632824,4.528813522,0.000765865,0.079324967,-0.230894893,FALSE
248153_at,-1.369492219,4.539178492,-4.526236217,0.000769212,0.079324967,-0.234806274,FALSE
264799_at,-0.768619901,5.019755838,-4.525509727,0.000770159,0.079324967,-0.235908997,FALSE
258222_at,1.00547986,4.216320975,4.524940121,0.000770902,0.079324967,-0.236773648,FALSE
262797_at,0.413824672,7.500505351,4.516509609,0.000781986,0.079324967,-0.249576889,FALSE
250896_at,-0.657320704,7.393268537,-4.511506862,0.000788642,0.079324967,-0.257179658,FALSE
256524_at,0.841471327,10.121447,4.510762166,0.000789638,0.079324967,-0.258311719,FALSE
260900_s_at,-0.790349291,7.218499581,-4.510553987,0.000789916,0.079324967,-0.2586282,FALSE
244995_at,-3.138124384,4.529066437,-4.510007819,0.000790648,0.079324967,-0.259458536,FALSE
256787_at,2.151939613,6.32272907,4.507366067,0.000794196,0.079324967,-0.263475429,FALSE
251497_at,-0.997138302,6.045781487,-4.504058565,0.000798662,0.079324967,-0.268506142,FALSE
256217_at,0.759669974,6.330344534,4.503550731,0.00079935,0.079324967,-0.269278707,FALSE
254092_at,1.624406474,5.132847074,4.501660109,0.000801917,0.079324967,-0.272155251,FALSE
266444_at,0.416817042,2.597987151,4.49869923,0.000805954,0.079324967,-0.276661275,FALSE
259525_at,1.738025134,3.822362314,4.497625242,0.000807423,0.079324967,-0.278296061,FALSE
264952_at,0.681183225,7.293249383,4.493944231,0.000812482,0.079324967,-0.283900514,FALSE
250682_x_at,2.824232524,5.131413231,4.493396025,0.000813238,0.079324967,-0.284735352,FALSE
251870_at,-0.678540805,4.798269881,-4.493207884,0.000813497,0.079324967,-0.285021873,FALSE
262323_at,0.536125723,10.15204783,4.491746861,0.000815517,0.079324967,-0.287247069,FALSE
256497_at,-3.285443783,6.427530392,-4.487906046,0.000820851,0.079324967,-0.293098346,FALSE
248626_at,0.871858378,3.324897519,4.487222096,0.000821805,0.079324967,-0.294140544,FALSE
260966_at,-0.675517883,4.864817368,-4.48670271,0.00082253,0.079324967,-0.29493203,FALSE
245359_at,-0.395192161,9.157703729,-4.486498182,0.000822815,0.079324967,-0.295243718,FALSE
250683_x_at,2.040182849,5.118156897,4.484261952,0.000825945,0.079324967,-0.298652022,FALSE
255356_x_at,-0.491519764,2.839684724,-4.477397561,0.000835632,0.079324967,-0.309119027,FALSE
261869_at,-0.347771908,2.786170302,-4.474315545,0.000840019,0.079324967,-0.313820913,FALSE
266224_at,-0.452732789,9.114448756,-4.469255421,0.000847276,0.079324967,-0.321543728,FALSE
263440_at,-0.420866459,2.650864284,-4.46610368,0.000851828,0.079324967,-0.326355924,FALSE
263209_at,-0.679489396,6.528962211,-4.465805975,0.000852259,0.079324967,-0.326810549,FALSE
249767_at,0.901331293,7.437763664,4.465372842,0.000852887,0.079324967,-0.327472011,FALSE
256515_at,0.829686963,3.204739519,4.464336834,0.000854391,0.079324967,-0.329054272,FALSE
255093_s_at,-0.606425215,8.452089423,-4.463780093,0.000855201,0.079324967,-0.329904633,FALSE
244970_at,-2.286463308,6.953331192,-4.460396249,0.000860137,0.079324967,-0.335074097,FALSE
254534_at,2.046362041,3.578261415,4.458198059,0.00086336,0.079324967,-0.338433184,FALSE
265394_at,-0.593836384,7.577799016,-4.452158445,0.00087228,0.079324967,-0.347666191,FALSE
252780_at,-0.525669265,2.893080856,-4.450932838,0.000874102,0.079324967,-0.349540504,FALSE
261681_at,-0.457510038,5.234237895,-4.447310282,0.00087951,0.079324967,-0.355081788,FALSE
247991_at,1.005027039,3.618174201,4.446058152,0.000881388,0.079324967,-0.356997585,FALSE
261004_at,1.415660128,4.260577777,4.443700834,0.000884933,0.079324967,-0.360604999,FALSE
244966_at,-2.789247533,4.117829781,-4.44204357,0.000887435,0.079324967,-0.363141621,FALSE
247153_at,1.072366588,6.271183078,4.43945385,0.000891359,0.079324967,-0.367106301,FALSE
266813_at,-0.718816186,5.352511428,-4.438707339,0.000892494,0.079324967,-0.368249346,FALSE
260590_at,0.629872644,7.594577486,4.437314546,0.000894615,0.079324967,-0.37038219,FALSE
244965_at,-2.52001153,4.916842636,-4.437180054,0.00089482,0.079324967,-0.37058816,FALSE
252521_at,-0.544006119,4.247984557,-4.436172704,0.000896357,0.079324967,-0.372130963,FALSE
248140_at,1.583542782,7.239493571,4.435941039,0.000896711,0.079324967,-0.37248579,FALSE
252985_at,0.914120626,6.20765553,4.434368426,0.000899118,0.079324967,-0.37489468,FALSE
254474_at,0.99043066,6.20860527,4.433896008,0.000899843,0.079324967,-0.375618392,FALSE
251148_at,0.780899175,5.295241741,4.428351144,0.00090839,0.079324967,-0.384115253,FALSE
260048_at,-0.440695609,5.670868668,-4.427669784,0.000909446,0.079324967,-0.385159678,FALSE
249979_s_at,1.451727835,4.264898144,4.421416071,0.0009192,0.079324967,-0.394748971,FALSE
245004_at,-2.02405732,8.209782326,-4.417865044,0.000924787,0.079324967,-0.400196648,FALSE
251810_at,-0.505469809,6.778807285,-4.416874562,0.000926351,0.079324967,-0.401716497,FALSE
251491_at,2.816837073,5.415305016,4.415045221,0.000929248,0.079324967,-0.404523925,FALSE
245540_at,0.736899459,5.42402345,4.411015553,0.000935664,0.079324967,-0.410709891,FALSE
260025_at,-0.487484033,5.862001307,-4.406000662,0.000943712,0.079324967,-0.418411677,FALSE
254025_at,2.198575291,4.65128609,4.403355729,0.000947986,0.079324967,-0.422475236,FALSE
252946_at,-0.678026939,4.898914016,-4.402575037,0.000949251,0.079324967,-0.423674857,FALSE
253538_at,-0.444152948,8.60828814,-4.400542215,0.000952554,0.079324967,-0.426798943,FALSE
249206_at,0.768068189,2.7863688,4.396580692,0.000959026,0.079324967,-0.432888875,FALSE
264029_at,1.594807929,3.190539482,4.394539044,0.000962379,0.079324967,-0.436028353,FALSE
248636_at,4.201428167,5.050674274,4.393366202,0.000964311,0.079324967,-0.437832134,FALSE
250462_at,0.60110496,4.838276648,4.381072415,0.000984804,0.079324967,-0.456751769,FALSE
254971_at,0.810620428,6.817366736,4.37976637,0.000987008,0.079324967,-0.458763038,FALSE
252147_at,-0.426717673,5.695131082,-4.379151952,0.000988047,0.079324967,-0.45970931,FALSE
252960_at,0.471458983,5.310175916,4.377739595,0.000990438,0.079324967,-0.46188471,FALSE
246060_at,-0.455396851,6.400716043,-4.377088722,0.000991542,0.079324967,-0.462887323,FALSE
252827_at,1.473900142,6.139790593,4.376994639,0.000991702,0.079324967,-0.463032256,FALSE
259756_at,-0.437019515,8.394615995,-4.371266853,0.001001476,0.079324967,-0.471858204,FALSE
257317_at,1.57751567,4.711176542,4.367599842,0.001007786,0.079324967,-0.477511249,FALSE
266797_at,0.547290309,3.966669223,4.365774476,0.001010943,0.079324967,-0.480325964,FALSE
264114_at,0.421287369,3.459888224,4.365643216,0.00101117,0.079324967,-0.480528386,FALSE
257080_at,1.275651163,3.246214707,4.363255505,0.001015316,0.079324967,-0.484211026,FALSE
264119_at,1.307507494,4.152584312,4.362690043,0.0010163,0.079324967,-0.485083278,FALSE
254756_at,0.946717711,6.1409185,4.361111365,0.001019053,0.079324967,-0.487518715,FALSE
254210_at,-0.587834067,7.36212415,-4.359124848,0.001022529,0.079324967,-0.490583848,FALSE
247270_at,0.556164688,7.532400845,4.357260324,0.001025803,0.079324967,-0.493461278,FALSE
244997_at,-1.081573573,6.963072102,-4.35629483,0.001027502,0.079324967,-0.494951481,FALSE
250958_at,0.498218691,3.664453225,4.352225802,0.001034697,0.079324967,-0.501233367,FALSE
266581_at,2.589132802,5.0944776,4.348239664,0.001041795,0.079324967,-0.507389644,FALSE
262133_at,1.559586915,6.514168703,4.347499811,0.001043119,0.079324967,-0.508532545,FALSE
259965_at,-0.596327984,8.830100243,-4.346969127,0.001044069,0.079324967,-0.509352377,FALSE
260647_at,0.562689677,5.479605354,4.34004318,0.001056552,0.079324967,-0.520055781,FALSE
260983_at,-0.522161935,9.214854493,-4.331317254,0.001072502,0.079324967,-0.533550861,FALSE
255689_at,0.817180243,2.513552308,4.330501085,0.001074007,0.079324967,-0.534813675,FALSE
244990_s_at,-2.89907377,5.039212052,-4.329762128,0.001075371,0.079324967,-0.535957107,FALSE
246827_at,0.882099758,3.019158269,4.329597521,0.001075675,0.079324967,-0.536211823,FALSE
247331_at,-0.973153983,4.451332213,-4.329421598,0.001076001,0.079324967,-0.536484055,FALSE
253480_at,1.441695393,5.303708113,4.327397717,0.001079748,0.079324967,-0.539616232,FALSE
262043_at,-0.556569987,6.160134177,-4.324913479,0.001084367,0.079324967,-0.543461675,FALSE
254461_at,0.539124631,5.473952194,4.32355775,0.001086897,0.079324967,-0.545560636,FALSE
