"","11_Flight_WT_Col_3_052510.CEL","12_Flight_WT_Col_4_052710.CEL","13_Flight_Act2_1_052510.CEL","14_Flight_Act2_2_052710.CEL","16_Flight_Act2_4_052710.CEL","2_Ground_WT_Col_2_052510.CEL","3_Ground_WT_Col_3_052510.CEL","4_Ground_WT_Col_4_052510.CEL","6_Ground_Act2_2_052510.CEL","7_Ground_Act2_3_052510.CEL","8_Ground_Act2_4_052510.CEL","9_Flight_WT_Col_1_052710.CEL"
"slope",4.66,4.42,4.57,4.64,4.47,4.53,4.57,4.77,4.55,4.55,4.49,4.5
"pvalue",1.95e-12,6.84e-12,1.59e-12,1.66e-12,1.33e-12,3.01e-12,2.78e-12,3.92e-12,3.07e-12,7.64e-12,7.44e-12,2.22e-12
