"","FC_front.CEL","FC_rear.CEL","FS_front.CEL","FS_rear.CEL","GS_front.CEL","GS_rear.CEL"
"slope",4.23,4.3,5.15,4.96,4.9,4.89
"pvalue",1.39e-12,9.87e-13,1.61e-11,8.7e-12,4.44e-13,1.07e-12
