"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"threshold"	"LocusID"	"Symbol"	"EntrezID"	"HomologyGroup"
"260900_s_at"	3.11442736467062	6.50582378722818	32.5025554516894	4.45939339413381e-09	0.000101718763320192	10.8247276217458	"TRUE"	"NA"	"NA"	NA	NA
"254001_at"	3.83163597566421	5.93272981385809	29.1692231255918	9.66829474860506e-09	0.000109864751591882	10.3223597070242	"TRUE"	"AT4G26260"	"MIOX4"	828732	118931
"260411_at"	3.83058004665154	7.42151461709795	27.5737062981168	1.44495508450524e-08	0.000109864751591882	10.043501290182	"TRUE"	"AT1G69890"	"NA"	843325	118226
"257745_at"	3.19968425384348	9.25056668488883	25.7947984775884	2.32555440739738e-08	0.000132614740081835	9.69783361602052	"TRUE"	"AT3G29240"	"NA"	822579	98635
"266368_at"	3.1957980850077	6.15253389848764	24.1342030042267	3.73663831136216e-08	0.000138999620682499	9.3373316363737	"TRUE"	"AT2G41380"	"NA"	818736	NA
"253268_s_at"	3.26005062308817	6.59517113006763	23.5079116112456	4.50588099429416e-08	0.000138999620682499	9.19077386233966	"TRUE"	"NA"	"NA"	NA	NA
"258395_at"	3.04950327227537	7.51048150668941	22.8486973554238	5.51659018719637e-08	0.000138999620682499	9.02970475975524	"TRUE"	"AT3G15500"	"ANAC055,ATNAC3,NAC055,NAC3"	820789	117573
"260741_at"	2.97584949751398	7.35479099857927	22.8342301263785	5.54149862444501e-08	0.000138999620682499	9.0260886621597	"TRUE"	"AT1G15040"	"GAT,GAT1_2.1"	838069	NA
"252415_at"	4.34448223247572	5.92108755705049	22.7459123431869	5.69635923384482e-08	0.000138999620682499	9.00393619605287	"TRUE"	"AT3G47340"	"ASN1,AT-ASN1,DIN6"	823888	49128
"259491_at"	-2.56899581706322	6.34581234031947	-22.3232048225952	6.50914636084984e-08	0.000138999620682499	8.89604066444469	"TRUE"	"AT1G15820"	"CP24,LHCB6"	838151	95036
"254818_at"	-3.39115349218319	10.133558011914	-21.909331302956	7.43507469594213e-08	0.000138999620682499	8.78732148464293	"TRUE"	"AT4G12470"	"AZI1"	826859	112212
"265680_at"	4.04810054121924	7.73330010643539	21.6116912032684	8.19380073402113e-08	0.000138999620682499	8.70718822801727	"TRUE"	"AT2G32150"	"NA"	817774	94387
"265067_at"	5.00970793222099	7.53553345596289	21.5078712108604	8.47887778402788e-08	0.000138999620682499	8.67884429603991	"TRUE"	"AT1G03850"	"ATGRXS13,GRXS13"	839392	NA
"252265_at"	3.59012887632403	6.61967146213003	21.4892041716725	8.5313226197062e-08	0.000138999620682499	8.67372619088348	"TRUE"	"AT3G49620"	"DIN11"	824124	121725
