"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"threshold"	"Symbol"	"EntrezID"	"LocusID"	"HomologyGroup"
"260900_s_at"	2.9509224942137	6.50582378722818	30.7961980715393	6.55889957504691e-09	9.31661183574815e-05	10.5733233828328	"TRUE"	"NA"	NA	"NA"	NA
"254001_at"	3.63141879776413	5.93272981385809	27.6450231303844	1.41854971963559e-08	9.31661183574815e-05	10.0509866906162	"TRUE"	"MIOX4"	828732	"AT4G26260"	118931
"263852_at"	2.51420034025163	8.21508484344924	26.4176139124258	1.96163618546008e-08	9.31661183574815e-05	9.81821895459185	"TRUE"	"ATNUDT6,ATNUDX6,NUDT6,NUDX6"	814985	"AT2G04450"	130841
"266368_at"	3.42102174136233	6.15253389848764	25.8350593472218	2.29983231774077e-08	9.31661183574815e-05	9.70120776191338	"TRUE"	"NA"	818736	"AT2G41380"	NA
"255997_s_at"	-3.35834222977575	8.13066841366228	-25.66960804763	2.40765203562932e-08	9.31661183574815e-05	9.66716701564175	"TRUE"	"NA"	NA	"NA"	NA
"252265_at"	4.27789825848088	6.61967146213003	25.6059412541938	2.45066510366019e-08	9.31661183574815e-05	9.6539705082071	"TRUE"	"DIN11"	824124	"AT3G49620"	121725
"254818_at"	-3.73997179168826	10.133558011914	-24.162952587279	3.7050903098578e-08	0.000109292266288691	9.33967299955121	"TRUE"	"AZI1"	826859	"AT4G12470"	112212
"260411_at"	3.31224349775155	7.42151461709795	23.8425586419175	4.07454825000771e-08	0.000109292266288691	9.26573176070699	"TRUE"	"NA"	843325	"AT1G69890"	118226
"257745_at"	2.93166668203254	9.25056668488883	23.63412926624	4.33736980604171e-08	0.000109292266288691	9.21677345218311	"TRUE"	"NA"	822579	"AT3G29240"	98635
"256252_at"	3.62287643023646	6.99281557028862	22.9004318955299	5.42855404977055e-08	0.000109292266288691	9.03886551283317	"TRUE"	"UGT76B1"	820307	"AT3G11340"	118552
"259491_at"	-2.63282473717618	6.34581234031947	-22.8778441286707	5.4667934263017e-08	0.000109292266288691	9.03324692350803	"TRUE"	"CP24,LHCB6"	838151	"AT1G15820"	95036
"261506_at"	2.41725075651616	6.2104586081023	22.7161207999717	5.74970274206176e-08	0.000109292266288691	8.992765618972	"TRUE"	"ATCK1,CK,CK1"	843500	"AT1G71697"	88575
"267002_s_at"	-3.22157046663575	7.62156014834843	-22.1725919511513	6.83002505860694e-08	0.000114753197026212	8.8533839315201	"TRUE"	"NA"	NA	"NA"	NA
"260741_at"	2.86312227814718	7.35479099857927	21.9692538328265	7.29217219162798e-08	0.000114753197026212	8.79988533180034	"TRUE"	"GAT,GAT1_2.1"	838069	"AT1G15040"	NA
