"","space_flight_microgravity_1","space_flight_microgravity_2","1g_in-flight_reference_centrifuge_1","1g_in-flight_reference_centrifuge_2","1g_ground_control_1","1g_ground_control_2"
"slope",4.23,4.3,5.15,4.96,4.9,4.89
"pvalue",1.39e-12,9.87e-13,1.61e-11,8.7e-12,4.44e-13,1.07e-12
