"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","LocusID","Symbol","EntrezID","HomologyGroup"
"257320_at",2.17865666042373,5.86576089193378,17.8379723673799,3.18932274009337e-07,0.0043381846933393,6.79693177888565,"TRUE","NA","NA",NA,NA
"244911_at",1.9541235409009,3.94722805746101,17.195541738565,4.13092405563614e-07,0.0043381846933393,6.62331442590093,"FALSE","ATMG00820","ORF170",NA,NA
"244922_s_at",2.39676163744736,6.98082228621646,15.8087740001274,7.46313794379441e-07,0.0043381846933393,6.20762375426325,"TRUE","NA","NA",NA,NA
"263505_s_at",2.38240567358177,5.64217120875795,15.2083908177094,9.79152831419273e-07,0.0043381846933393,6.00828266263709,"TRUE","NA","NA",NA,NA
"264960_at",2.31970689884343,5.84814891008907,15.1963755571403,9.84589726839071e-07,0.0043381846933393,6.0041633411184,"TRUE","AT1G76930","ATEXT1,ATEXT4,EXT1,EXT4,ORG5",844028,NA
"257329_at",1.48618260016719,5.01225488125436,14.502576266793,1.36538762936276e-06,0.0043381846933393,5.75714440272224,"FALSE","ATMG01260","ORF205",NA,NA
"244946_at",2.2208691098814,6.63958360521919,14.2963704660811,1.50902193010923e-06,0.0043381846933393,5.68011505797572,"TRUE","NA","NA",NA,NA
"265238_s_at",1.8449440979507,6.49817281435963,14.2795131129693,1.52150274207428e-06,0.0043381846933393,5.67374170364801,"FALSE","NA","NA",NA,NA
"266322_at",1.70531375338609,5.01702738125724,13.817315213217,1.9139421729734e-06,0.00465748571289395,5.49436948356219,"FALSE","AT2G46690","SAUR32",819281,118645
"244904_at",1.84587176394699,7.93607787873794,13.6895554558591,2.04186133840155e-06,0.00465748571289395,5.44316933061848,"FALSE","ATMG00670","ORF275",NA,NA
"244973_at",2.09565301566671,3.71697841292878,12.9914449207916,2.93775284440882e-06,0.00499168530155389,5.15027194028194,"TRUE","ATCG00690","PSBT,PSBTC",NA,NA
"253218_at",1.72004328066365,8.17907531969961,12.8931141304243,3.09670242894059e-06,0.00499168530155389,5.1071562589924,"FALSE","AT4G34980","SLP2",829650,93874
"244908_at",1.8544375460109,5.32192110213266,12.6107619305897,3.61010510906675e-06,0.00499168530155389,4.98066830546895,"FALSE","ATMG00720","ORF107D",NA,NA
"265227_s_at",1.98440147192994,9.27412925944646,12.602190740449,3.62713466233509e-06,0.00499168530155389,4.9767651991456,"FALSE","NA","NA",NA,NA
"265232_s_at",1.61121204368574,7.58305725689207,12.5732957536484,3.68521868234525e-06,0.00499168530155389,4.96357920727942,"FALSE","NA","NA",NA,NA
"245049_at",1.72892237673078,4.8648024368809,12.4964799288074,3.84482719629743e-06,0.00499168530155389,4.92831426540785,"FALSE","ATCG00050","RPS16",NA,NA
"244902_at",2.22217137582507,7.18359878449476,12.3882442479978,4.08319274208386e-06,0.00499168530155389,4.87810007250121,"TRUE","ATMG00650","NAD4L",NA,NA
"266012_s_at",1.61782315763048,10.060463599127,12.3188384041546,4.24484662795801e-06,0.00499168530155389,4.84557334616092,"FALSE","NA","NA",NA,NA
