Affymetrix-ID,1G_Flight,1G_Flight,Flight,Flight,Ground,Ground,Ensembl-ID,CG_1G_Flight_mean,CG_Flight_mean,CG_Ground_mean,CG_1G_FL_vs_FL_P-Value,CG_FL_v_GC_P-Value,CG_1G_FL_vs_GC_P-Value
AFFX-r2-P1-cre-5_at,12.54448316,12.61597783,12.69129063,12.65274135,12.48425768,12.64169329,---,12.5802305,12.67201599,12.56297549,0.152288079,0.310723432,0.860256816
AFFX-r2-P1-cre-3_at,12.43228267,12.47996127,12.58405795,12.55169495,12.39622086,12.55299863,---,12.45612197,12.56787645,12.47460975,0.060500857,0.364103708,0.842439148
AFFX-r2-Ec-bioD-5_at,10.07394144,10.31914365,10.36349409,10.28806696,10.06299587,10.27795801,---,10.19654255,10.32578053,10.17047694,0.419757818,0.305934378,0.88767104
AFFX-r2-Ec-bioD-3_at,10.77118421,10.84537209,10.97188569,11.00399405,10.67569797,10.84069042,---,10.80827815,10.98793987,10.7581942,0.047068139,0.111816974,0.635418596
AFFX-r2-Ec-bioC-5_at,8.628044871,8.713680977,8.926925991,8.881151214,8.61612722,8.745190594,---,8.670862924,8.904038603,8.680658907,0.040724387,0.082494802,0.910913981
AFFX-r2-Ec-bioC-3_at,8.905315756,9.117141183,9.142657647,9.144218253,8.880348016,8.956928166,---,9.01122847,9.14343795,8.918638091,0.33825384,0.027818795,0.49741632
AFFX-r2-Ec-bioB-M_at,7.675297159,7.874371103,8.071189893,7.954869312,7.596462011,7.849036492,---,7.774834131,8.013029603,7.722749252,0.174788477,0.172062055,0.776739189
AFFX-r2-Ec-bioB-5_at,7.3540403,7.310277762,7.440506904,7.464555788,7.299949246,7.496366834,---,7.332159031,7.452531346,7.39815804,0.040431439,0.637797443,0.579234623
AFFX-r2-Ec-bioB-3_at,7.352471132,7.565288725,7.52196795,7.520839303,7.379715562,7.507050557,---,7.458879929,7.521403627,7.44338306,0.616321641,0.345149406,0.911973642
AFFX-r2-Bs-thr-M_s_at,10.28145104,10.26694418,11.70171706,11.8292456,10.23020075,10.75788175,---,10.27419761,11.76548133,10.49404125,0.001846773,0.042680205,0.492509438
AFFX-r2-Bs-thr-5_s_at,9.939985481,9.854007537,11.51741662,11.50009241,9.862624052,10.40693506,---,9.896996509,11.50875452,10.13477956,0.000739463,0.037102956,0.47909443
AFFX-r2-Bs-thr-3_s_at,10.73599888,10.82590576,12.2474152,12.30478047,10.70162489,11.20436515,---,10.78095232,12.27609784,10.95299502,0.001269578,0.03467382,0.569912333
AFFX-r2-Bs-phe-M_at,8.51395,8.511807596,10.17679212,10.18530315,8.469738276,9.094826462,---,8.512878798,10.18104764,8.782282369,6.91993E-06,0.046481898,0.479551302
AFFX-r2-Bs-phe-5_at,9.348511618,9.257350762,10.86201912,11.02139787,9.375236784,9.987846588,---,9.30293119,10.9417085,9.681541686,0.003123523,0.057677056,0.346003625
AFFX-r2-Bs-phe-3_at,8.464673231,8.555415589,10.00499912,10.14627889,8.574682216,9.044453407,---,8.51004441,10.07563901,8.809567812,0.002863334,0.035542971,0.337126422
AFFX-r2-Bs-lys-M_at,7.507758317,7.390521332,9.159357824,9.145441113,7.55007772,8.218232756,---,7.449139825,9.152399469,7.884155238,0.001198955,0.062936325,0.328217595
AFFX-r2-Bs-lys-5_at,8.2542733,8.288452655,9.963632403,10.19904785,8.351198744,9.1219546,---,8.271362978,10.08134013,8.736576672,0.004290631,0.079259794,0.351135592
AFFX-r2-Bs-lys-3_at,8.273170986,8.259323291,9.623235496,9.735741794,8.209321378,8.913191701,---,8.266247139,9.679488645,8.56125654,0.001604519,0.088330328,0.490182016
AFFX-r2-Bs-dap-M_at,10.44122499,10.33699042,11.58956753,11.54968804,10.45741349,10.81670586,---,10.38910771,11.56962779,10.63705968,0.002226856,0.035573383,0.316129487
AFFX-r2-Bs-dap-5_at,10.04212461,9.774813119,11.23726013,11.47005289,9.969656562,10.5300525,---,9.908468865,11.35365651,10.24985453,0.01470895,0.067947831,0.386153548
AFFX-r2-Bs-dap-3_at,10.57556396,10.60562638,11.43974536,11.57415519,10.52740217,10.90728814,---,10.59059517,11.50695028,10.71734516,0.005600332,0.059371093,0.574353074
AFFX-r2-At-Ubq-5_x_at,12.18058987,12.24473937,12.06794986,12.095145,12.32500864,12.30029734,---,12.21266462,12.08154743,12.31265299,0.06390427,0.006260824,0.100647165
AFFX-r2-At-Ubq-3_x_at,12.94368324,12.8642842,12.82335952,12.74612606,12.95141858,12.9030166,---,12.90398372,12.78474279,12.92721759,0.164183259,0.088886582,0.666837304
AFFX-r2-At-U12639_at,4.334062252,4.486085215,4.411655338,4.517494515,4.23834645,4.399857697,---,4.410073734,4.464574927,4.319102074,0.615834597,0.270867798,0.498260806
AFFX-r2-At-GAPDH-5_s_at,11.87767215,11.79688709,11.84831913,11.91375906,11.85992697,11.94765648,---,11.83727962,11.8810391,11.90379173,0.488506181,0.717942533,0.380718644
AFFX-r2-At-GAPDH-3_s_at,12.22389278,12.20344139,12.21741229,12.26406081,12.41989921,12.35516054,---,12.21366709,12.24073655,12.38752988,0.399186926,0.066578438,0.036071234
AFFX-r2-At-Actin-M_s_at,11.27791837,11.55034371,10.97476723,11.19444851,10.94277714,11.11537306,---,11.41413104,11.08460787,11.0290751,0.200373088,0.729377147,0.139570489
AFFX-r2-At-Actin-5_s_at,9.961312172,10.13442083,9.85861722,10.16123114,9.489141943,9.734109375,---,10.0478665,10.00992418,9.611625659,0.847878012,0.17738134,0.100666044
AFFX-r2-At-Actin-3_s_at,12.23619908,12.36462944,12.11334841,12.23641823,12.20041881,12.23336715,---,12.30041426,12.17488332,12.21689298,0.293590543,0.577374843,0.33481964
AFFX-TrpnX-M_at,2.752274036,2.823740922,2.869640683,2.77581932,2.81876481,2.813615363,---,2.788007479,2.822730002,2.816190087,0.615630183,0.902042326,0.513896099
AFFX-TrpnX-5_at,3.766879678,3.766420859,3.639215342,3.558868438,3.777747537,3.813172023,---,3.766650269,3.59904189,3.79545978,0.052931316,0.046506639,0.2453847
AFFX-TrpnX-3_at,2.851105838,3.063436306,2.765302514,2.880810095,3.005138537,2.923504109,---,2.957271072,2.823056305,2.964321323,0.382401234,0.183846724,0.956212079
