Affymetrix-ID	FC_front.CEL	FC_rear.CEL	FS_front.CEL	FS_rear.CEL	GS_front.CEL	GS_rear.CEL	Ensembl-ID
AFFX-r2-P1-cre-5_at	12.54448316	12.61597783	12.69129063	12.65274135	12.48425768	12.64169329	---
AFFX-r2-P1-cre-3_at	12.43228267	12.47996127	12.58405795	12.55169495	12.39622086	12.55299863	---
AFFX-r2-Ec-bioD-5_at	10.07394144	10.31914365	10.36349409	10.28806696	10.06299587	10.27795801	---
AFFX-r2-Ec-bioD-3_at	10.77118421	10.84537209	10.97188569	11.00399405	10.67569797	10.84069042	---
AFFX-r2-Ec-bioC-5_at	8.628044871	8.713680977	8.926925991	8.881151214	8.61612722	8.745190594	---
AFFX-r2-Ec-bioC-3_at	8.905315756	9.117141183	9.142657647	9.144218253	8.880348016	8.956928166	---
AFFX-r2-Ec-bioB-M_at	7.675297159	7.874371103	8.071189893	7.954869312	7.596462011	7.849036492	---
AFFX-r2-Ec-bioB-5_at	7.3540403	7.310277762	7.440506904	7.464555788	7.299949246	7.496366834	---
AFFX-r2-Ec-bioB-3_at	7.352471132	7.565288725	7.52196795	7.520839303	7.379715562	7.507050557	---
AFFX-r2-Bs-thr-M_s_at	10.28145104	10.26694418	11.70171706	11.8292456	10.23020075	10.75788175	---
AFFX-r2-Bs-thr-5_s_at	9.939985481	9.854007537	11.51741662	11.50009241	9.862624052	10.40693506	---
AFFX-r2-Bs-thr-3_s_at	10.73599888	10.82590576	12.2474152	12.30478047	10.70162489	11.20436515	---
AFFX-r2-Bs-phe-M_at	8.51395	8.511807596	10.17679212	10.18530315	8.469738276	9.094826462	---
AFFX-r2-Bs-phe-5_at	9.348511618	9.257350762	10.86201912	11.02139787	9.375236784	9.987846588	---
AFFX-r2-Bs-phe-3_at	8.464673231	8.555415589	10.00499912	10.14627889	8.574682216	9.044453407	---
AFFX-r2-Bs-lys-M_at	7.507758317	7.390521332	9.159357824	9.145441113	7.55007772	8.218232756	---
AFFX-r2-Bs-lys-5_at	8.2542733	8.288452655	9.963632403	10.19904785	8.351198744	9.1219546	---
AFFX-r2-Bs-lys-3_at	8.273170986	8.259323291	9.623235496	9.735741794	8.209321378	8.913191701	---
AFFX-r2-Bs-dap-M_at	10.44122499	10.33699042	11.58956753	11.54968804	10.45741349	10.81670586	---
AFFX-r2-Bs-dap-5_at	10.04212461	9.774813119	11.23726013	11.47005289	9.969656562	10.5300525	---
AFFX-r2-Bs-dap-3_at	10.57556396	10.60562638	11.43974536	11.57415519	10.52740217	10.90728814	---
AFFX-r2-At-Ubq-5_x_at	12.18058987	12.24473937	12.06794986	12.095145	12.32500864	12.30029734	---
AFFX-r2-At-Ubq-3_x_at	12.94368324	12.8642842	12.82335952	12.74612606	12.95141858	12.9030166	---
AFFX-r2-At-U12639_at	4.334062252	4.486085215	4.411655338	4.517494515	4.23834645	4.399857697	---
AFFX-r2-At-GAPDH-5_s_at	11.87767215	11.79688709	11.84831913	11.91375906	11.85992697	11.94765648	---
AFFX-r2-At-GAPDH-3_s_at	12.22389278	12.20344139	12.21741229	12.26406081	12.41989921	12.35516054	---
AFFX-r2-At-Actin-M_s_at	11.27791837	11.55034371	10.97476723	11.19444851	10.94277714	11.11537306	---
AFFX-r2-At-Actin-5_s_at	9.961312172	10.13442083	9.85861722	10.16123114	9.489141943	9.734109375	---
AFFX-r2-At-Actin-3_s_at	12.23619908	12.36462944	12.11334841	12.23641823	12.20041881	12.23336715	---
AFFX-TrpnX-M_at	2.752274036	2.823740922	2.869640683	2.77581932	2.81876481	2.813615363	---
AFFX-TrpnX-5_at	3.766879678	3.766420859	3.639215342	3.558868438	3.777747537	3.813172023	---
AFFX-TrpnX-3_at	2.851105838	3.063436306	2.765302514	2.880810095	3.005138537	2.923504109	---
AFFX-ThrX-M_at	9.534941295	9.402217679	11.12437552	11.17201624	9.497951105	10.03131118	---
AFFX-ThrX-5_at	9.172855588	9.051938885	10.66763485	10.83276357	9.112798795	9.641956528	---
AFFX-ThrX-3_at	10.10262532	10.06896041	11.52879731	11.6257291	10.04605168	10.56924481	---
AFFX-PheX-M_at	8.706335335	8.636668133	10.38523412	10.50165281	8.738225158	9.265049701	---
AFFX-PheX-5_at	8.876635602	8.735357704	10.44643668	10.5748949	8.844903253	9.444224339	---
AFFX-PheX-3_at	9.450600786	9.540497403	10.95702614	11.09641564	9.509969159	9.986000654	---
AFFX-LysX-M_at	8.115928959	8.038653972	9.757981636	9.888910442	8.215118098	8.706967245	---
AFFX-LysX-5_at	7.920526356	7.900114823	9.575745816	9.790269494	7.909002768	8.545338846	---
AFFX-LysX-3_at	8.949184434	8.901997277	10.33254231	10.52238464	8.870812687	9.399827128	---
AFFX-DapX-M_at	10.57811797	10.48627019	11.71314195	11.79176331	10.58688071	11.02786764	---
AFFX-DapX-5_at	9.269597627	9.226474756	10.54558012	10.69386692	9.36546123	9.789965689	---
AFFX-DapX-3_at	11.25251271	11.27575722	12.35999723	12.42082434	11.23107468	11.63792598	---
AFFX-CreX-5_at	11.75241696	11.93045637	12.00437525	12.01856156	11.85344845	11.99585084	---
AFFX-CreX-3_at	12.31908452	12.55032871	12.41220679	12.39935586	12.2291932	12.58109535	---
AFFX-BioDn-5_at	8.855064971	9.038663715	9.269524589	9.350728036	9.068646909	9.195012178	---
AFFX-BioDn-3_at	10.11674517	10.36759098	10.37368977	10.40136737	10.16028875	10.31577986	---
AFFX-BioC-5_at	7.955576495	8.144680055	8.305098721	8.34173597	8.062146394	8.163050729	---
AFFX-BioC-3_at	8.092691383	8.186969374	8.351781109	8.340856532	8.093959771	8.285431026	---
AFFX-BioB-M_at	7.026979582	7.253559079	7.424614155	7.485474175	7.166070984	7.273940359	---
AFFX-BioB-5_at	7.241339627	7.169320853	7.409027741	7.541050729	7.241167905	7.119837666	---
AFFX-BioB-3_at	6.869938382	7.027862209	7.271904737	7.271596474	6.921614644	7.130178076	---
AFFX-Athal-Ubq_M_f_at	10.34744682	10.36296606	10.28712058	10.21115134	10.4350058	10.42995649	---
AFFX-Athal-Ubq_5_f_at	11.22845902	11.33398783	11.23658306	11.32062895	11.53596295	11.46192524	---
AFFX-Athal-Ubq_3_f_at	12.6149929	12.60494773	12.56254384	12.47888444	12.78801513	12.73880789	---
AFFX-Athal-GAPDH_M_s_at	11.86013837	11.85764703	11.78009824	11.79267903	11.82775498	11.87614103	---
AFFX-Athal-GAPDH_5_s_at	10.77361639	10.77487393	10.78545647	10.74529677	10.71376887	10.8184459	---
AFFX-Athal-GAPDH_3_s_at	11.63670201	11.71594581	11.6870484	11.72609493	11.78193767	11.81038822	---
AFFX-Athal-Actin_M_at	10.36630448	10.5961199	10.12545825	10.28234792	10.21150484	10.25364603	---
AFFX-Athal-Actin_5_r_at	7.045555107	7.225483816	6.809868767	7.093198358	6.646479951	7.045137958	---
AFFX-Athal-Actin_3_f_at	11.18034133	11.4431597	11.2195586	11.30587227	11.25977804	11.26240089	---
AFFX-Athal-5SrRNA_at	2.740823112	2.800184828	3.03089883	3.106348083	2.963955838	2.831501378	---
AFFX-Athal-25SrRNA_s_at	12.22936767	12.0965443	12.50670236	12.37136308	12.74026069	12.32445809	---
267646_at	6.124261459	5.743420572	6.675114334	6.422857167	6.390197672	6.044309068	AT2G32830
267645_at	2.782402249	3.061203343	3.02263329	2.96968669	2.959361319	2.918341139	AT2G32860
267644_s_at	3.386733429	3.273339682	3.494411689	3.366647471	3.42759061	3.527271684	AT2G32870 /// AT2G32880
267643_at	3.611931872	3.792665572	3.726276034	3.65470714	3.654463068	3.731513999	AT2G32890
267642_at	7.758508671	7.740255859	7.719627979	7.732625299	7.870876101	7.752411547	AT2G32910
267641_at	4.072315029	4.250954875	4.173669966	4.374664754	4.23655905	4.316706318	---
267640_at	7.145396014	7.119589527	7.308825972	7.175071396	6.863848589	6.849243501	AT2G32950
267639_at	5.989953494	6.426707656	5.692320991	5.625308524	5.19789633	5.531024796	AT2G42200
267638_at	11.91950052	12.04462979	11.92581339	11.86719735	11.93571769	12.0172608	AT2G42210
267637_at	8.163274862	7.907878788	8.390291776	8.141258226	7.62578287	7.670905747	AT2G42190
267636_at	6.317635235	6.852479272	7.35930957	7.76366631	7.410232105	6.975720532	AT2G42110
267635_at	5.700636509	5.366598308	5.331364051	5.611720621	4.471523527	5.011445431	AT2G42220
267634_at	4.111870023	4.253441512	4.043884438	3.864544408	3.91284304	3.722743571	AT2G42100
267633_at	3.586454176	3.585839399	3.573816104	3.531112999	3.446149597	3.389147556	AT2G42180
267632_at	8.029690021	7.968993728	7.927719319	7.791323594	8.138621352	8.101470226	AT2G42160
267631_at	5.755378237	5.96387599	5.589090175	5.541124958	5.450095993	5.732323282	AT2G42150
267630_at	7.517962866	7.543520781	7.593808636	7.685543871	7.612150724	7.677360355	AT2G42130
267629_at	8.234990199	8.327807714	8.274311097	8.543503733	8.181037818	8.40688285	AT2G42120
267628_at	6.372752157	5.84255096	5.883616593	5.63513526	6.150127555	5.945721678	AT2G42280
267627_at	6.097018004	5.729751922	5.835887864	5.686977519	6.176098737	5.897852666	AT2G42270
267626_at	4.807918484	5.087311902	4.563558008	4.635759045	5.030736624	4.939848994	AT2G42250
267625_at	7.282416527	7.153690062	7.191816438	7.31609031	7.276277532	7.396010112	AT2G42240
267624_at	10.56365047	10.62601165	10.42531485	10.57850035	10.77366508	10.75842648	AT2G39660
267623_at	6.743622441	6.828868671	6.821256628	7.24406991	7.908900453	7.812414328	AT2G39650
267622_at	4.028057196	4.349218629	4.075514504	4.227671995	4.1483525	4.44556858	AT2G39690
267621_at	4.741812253	4.875084523	4.709340279	4.701996086	5.128112345	4.964752333	---
267620_at	3.7345328	3.792006591	3.671875733	3.618483694	3.708188608	3.753616243	AT2G39640
267619_at	8.190763509	8.350112242	8.122077885	8.111734303	7.956614784	8.111734303	AT2G26730
267618_at	6.864270044	7.115827352	7.811289654	8.408438754	8.32075191	7.966197447	AT2G26760
267617_at	8.286614876	8.176827865	8.100669732	8.051816707	9.012742858	8.641353733	AT2G26670
267616_at	6.709156156	6.69309196	6.881586733	6.998764023	6.557092072	6.751136782	AT2G26680
267615_at	3.721117299	3.987247589	3.697876167	3.522095752	3.974384228	3.646334301	AT2G26720
267614_at	5.352192668	5.710749127	5.68327072	6.228440535	5.740221685	6.153096988	AT2G26710
267613_at	3.061311776	3.410822873	3.18487398	2.811326942	3.091568763	3.060311493	AT2G26700
267612_at	4.856782668	4.174714587	4.673115955	4.303102388	4.007598783	4.000335245	AT2G26690
267611_at	8.16901315	8.165655654	8.679815141	8.262758102	8.081815613	8.214394593	AT2G26660
267610_at	7.500194133	7.286170972	7.671164003	7.240115298	6.776881776	6.717597291	AT2G26650
267609_at	7.659428259	7.481897744	7.588640235	7.513955215	7.881160167	7.618802268	AT2G26780
267608_at	7.119121083	7.12451727	7.104443432	7.213123233	7.18415484	7.074957054	AT2G26770
267607_s_at	10.50065454	10.00627667	10.52230037	10.01677078	10.1174557	10.04662688	AT2G26740 /// AT2G26750
267606_at	7.729022908	7.662340201	7.817735339	7.863096393	7.404223588	7.423943188	AT2G26640
267605_at	8.96466597	9.120065195	8.884132486	9.054829305	9.182200784	9.055396288	AT2G32920
267604_at	6.977669169	7.073202435	6.949888672	6.912495903	7.081816003	7.188795873	AT2G32930
267603_at	7.218538832	7.360402227	7.21712202	6.939267046	7.152149051	7.266453903	AT2G32900
267602_at	6.580800374	6.648463831	6.231269517	6.231269517	6.404689303	6.378611282	AT2G32970
267601_at	8.672342014	8.826834801	8.71955203	8.795633656	8.91094749	8.846262268	AT2G32980
267600_at	11.06763264	11.1697041	11.03792259	11.19557001	11.31473549	11.31706664	AT2G33040
267599_at	8.466698748	8.530173769	8.502243286	8.494219086	8.737148618	8.590755547	AT2G32850
267598_at	3.561247109	3.8078925	3.568141924	3.615915101	3.588563508	3.839487337	AT2G33010
267597_at	5.345407491	5.446258152	4.915007439	5.45651286	6.142788235	6.045092281	AT2G33020
267596_s_at	5.887890014	5.573306653	5.530655513	5.282960582	5.357795055	5.41939625	AT2G33050 /// AT2G33060
267595_at	7.625149494	8.208666207	8.595747057	9.195018617	7.972929037	8.842383564	AT2G32990
267594_at	4.13567367	4.230751334	4.128710888	4.259899863	4.404508081	4.339379519	AT2G33000
267593_at	2.944356022	2.966638483	2.995589699	2.925658891	2.876468454	2.983464375	AT2G33030
267592_at	7.495264298	7.298239152	7.432082461	7.210006706	7.291550482	6.928963174	AT2G39710
267591_at	9.364850801	9.702589112	9.64233097	9.44306854	9.152948528	9.511220438	AT2G39705
267590_at	12.73296805	12.90376638	12.87455648	12.98623446	12.51364566	12.82817068	AT2G39700
267589_at	2.475221987	2.46184502	2.492340723	2.508441882	2.564869423	2.528913558	AT2G42050
267588_at	4.281621865	4.333192574	4.220219079	4.331673763	6.630040038	5.678809123	AT2G42060
267587_at	7.999922606	7.807509034	8.168136639	8.316415638	8.419282931	8.325130391	AT2G42080
267586_at	8.014922521	7.918840047	8.393459589	8.433922779	7.987654735	8.232936902	AT2G41950
267585_s_at	3.533988818	3.425712277	3.354972192	3.229686683	3.387574215	3.525360431	AT2G42090
267584_at	5.885177475	5.908255968	5.739388595	5.729643849	5.784487033	5.840999044	AT2G41930
267583_at	9.606907086	9.584505519	9.215054224	9.270759191	9.487450513	9.196498015	AT2G41960
267582_at	3.946056686	4.021618044	3.775925198	3.968659771	3.750099221	3.827266002	AT2G41970
267581_at	7.277856024	7.323589634	7.072679266	7.086796816	6.670478421	6.724151495	AT2G41980
267580_at	4.804309211	4.621218347	4.657176817	4.843662251	4.286440361	4.413994234	AT2G41990
267579_at	5.286933441	5.335045391	5.199102918	5.194932711	5.106633239	5.298908249	AT2G42000
267578_at	5.428982771	5.219302388	5.559649565	5.579238471	5.183169653	5.347720744	AT2G30695
267577_at	8.387383374	8.079209156	8.634049507	8.728583845	8.508171533	8.231263467	AT2G30710
267576_at	4.864580183	4.873158285	4.891566784	5.103740351	5.417180902	5.336548411	AT2G30640
267575_at	3.319527292	3.509855654	3.392903231	3.180663112	3.268656721	3.42819383	AT2G30690
267574_at	4.616095944	4.441322076	4.038239916	4.308363578	4.29270163	4.188033323	AT2G30680
267573_at	6.542622843	6.254684289	6.373998048	5.878320616	7.062343056	6.183386635	AT2G30670
267572_at	4.610271892	4.553775025	4.240625026	4.622270559	4.741797332	4.536124076	AT2G30660
267571_at	3.767234585	3.782171968	4.043297047	3.891670704	4.509061875	3.884372332	AT2G30650
267570_at	7.215325756	7.006109838	6.967402059	7.031119452	7.240423535	6.931322343	AT2G30800
267569_at	4.958643096	4.676262019	4.895331563	4.652514754	4.065584686	4.184535398	AT2G30790
267568_at	6.057733067	5.909705614	5.602758479	5.66791717	5.843768455	5.735355132	AT2G30780
